,S&P Cryptocurrency Broad Digital Market Index (USD),Close,GBPJPY=X,EURCAD=X,AUDCNY=X,Int_rates,Inflation,News_Based_Policy_Uncert_Index
2017-03-01,102.93,2395.9599609375,139.95199584960938,1.406730055809021,5.241300106048584,0.62,0.0812797871947232,155.0
2017-03-02,108.62,2381.919921875,140.0240020751953,1.4065200090408325,5.262700080871582,0.66,0.08822409523788335,155.09677419354838
2017-03-03,108.78,2383.1201171875,140.33700561523438,1.4067800045013428,5.208399772644043,0.7,0.0951684032810435,155.19354838709677
2017-03-06,108.92,2375.31005859375,140.01499938964844,1.4211100339889526,5.2307000160217285,0.73,0.11600132741052398,155.48387096774192
2017-03-07,105.78,2368.389892578125,139.42799377441406,1.4175900220870972,5.226900100708008,0.75,0.12294563545368413,155.58064516129033
2017-03-08,98.74,2362.97998046875,139.0260009765625,1.4173699617385864,5.232999801635742,0.72,0.1298899434968443,155.67741935483872
2017-03-09,102.54,2364.8701171875,139.25999450683594,1.422279953956604,5.195700168609619,0.72,0.13683425154000445,155.7741935483871
2017-03-10,109.4,2372.60009765625,139.96299743652344,1.428629994392395,5.180600166320801,0.73,0.1437785595831646,155.8709677419355
2017-03-13,110.7,2373.469970703125,139.6230010986328,1.4387799501419067,5.137800216674805,0.78,0.16461148371264506,156.16129032258064
2017-03-14,111.7,2365.449951171875,140.2480010986328,1.4325900077819824,5.2241997718811035,0.77,0.1715557917558052,156.25806451612902
2017-03-15,114.09,2385.260009765625,139.3820037841797,1.429419994354248,5.223499774932861,0.72,0.17850009979896536,156.3548387096774
2017-03-16,111.46,2381.3798828125,139.26600646972656,1.4275699853897095,5.320799827575684,0.72,0.1854444078421255,156.4516129032258
2017-03-17,109.48,2378.25,139.97799682617188,1.4351199865341187,5.284299850463867,0.72,0.19238871588528567,156.5483870967742
2017-03-20,101.91,2373.469970703125,139.5229949951172,1.4324300289154053,5.314199924468994,0.75,0.21322164001476615,156.83870967741936
2017-03-21,107.3,2344.02001953125,139.21600341796875,1.4320399761199951,5.331299781799316,0.76,0.2201659480579263,156.93548387096774
2017-03-22,99.19,2348.449951171875,139.1999969482422,1.4443000555038452,5.277599811553955,0.76,0.22711025610108646,157.03225806451613
2017-03-23,101.76,2345.9599609375,138.9199981689453,1.4385600090026855,5.271399974822998,0.75,0.2340545641442466,157.1290322580645
2017-03-24,100.31,2343.97998046875,138.9340057373047,1.4388999938964844,5.249599933624268,0.77,0.24099887218740676,157.2258064516129
2017-03-27,103.09,2341.590087890625,138.31900024414062,1.4452400207519531,5.2241997718811035,0.77,0.26183179631688724,157.51612903225808
2017-03-28,104.05,2358.570068359375,139.09100341796875,1.4538400173187256,5.2357001304626465,0.77,0.2687761043600474,157.61290322580646
2017-03-29,106.15,2361.1298828125,138.14599609375,1.4469799995422363,5.257999897003174,0.77,0.27572041240320755,157.70967741935485
2017-03-30,106.15,2368.06005859375,138.26699829101562,1.4343899488449097,5.277699947357178,0.77,0.2826647204463677,157.80645161290323
2017-03-31,109.15,2362.719970703125,139.45899963378906,1.4246900081634521,5.264599800109863,0.75,0.28960902848952785,157.90322580645162
2017-04-03,113.76,2358.840087890625,139.50999450683594,1.4216500520706177,5.243100166320801,0.78,0.2824812596098179,156.13333333333333
2017-04-04,113.43,2360.159912109375,138.2760009765625,1.4278000593185425,5.228099822998047,0.78,0.2754452211483828,155.2
2017-04-05,113.31,2352.949951171875,137.88900756835938,1.430840015411377,5.204500198364258,0.79,0.2684091826869478,154.26666666666668
2017-04-06,115.52,2357.489990234375,137.83399963378906,1.4336600303649902,5.2093000411987305,0.78,0.2613731442255127,153.33333333333334
2017-04-07,116.33,2355.5400390625,138.25999450683594,1.4282100200653076,5.195199966430664,0.81,0.25433710576407764,152.4
2017-04-10,117.75,2357.159912109375,137.6300048828125,1.4186300039291382,5.177299976348877,0.81,0.23322899037977252,149.6
